dataset,dimension,model,trial,num_samples,num_steps,batch_size,hidden_features,num_layers,val loss,val/s_it,train loss,train/s_it,total params
ConvexHullDataset,5,GLGENN,1,256,512,128,32,4,"17,1219","0,0469","0,1031","0,2117",24.1K
ConvexHullDataset,5,GLGENN,2,256,512,128,32,4,"16,5957","0,0487","0,2083","0,21",24.1K
ConvexHullDataset,5,GLGENN,3,256,512,128,32,4,"17,0735","0,0505","0,2078","0,2298",24.1K
ConvexHullDataset,5,GLGENN,4,256,512,128,32,4,"16,41","0,0499","0,1133","0,2138",24.1K
ConvexHullDataset,5,GLGENN,5,256,512,128,32,4,"17,5202","0,0474","0,1742","0,2523",24.1K
ConvexHullDataset,5,GLGENN,1,1024,1024,128,32,4,"9,4511","0,0419","0,0804","0,1772",24.1K
ConvexHullDataset,5,GLGENN,2,1024,1024,128,32,4,"10,4902","0,043","0,097","0,1467",24.1K
ConvexHullDataset,5,GLGENN,3,1024,1024,128,32,4,"9,9845","0,0414","0,1876","0,1706",24.1K
ConvexHullDataset,5,GLGENN,4,1024,1024,128,32,4,"10,7553","0,0409","0,1388","0,1745",24.1K
ConvexHullDataset,5,GLGENN,5,1024,1024,128,32,4,"11,3384","0,0417","0,0782","0,1664",24.1K
ConvexHullDataset,5,GLGENN,1,4096,2048,128,32,4,"6,4691","0,0433","0,5456","0,1772",24.1K
ConvexHullDataset,5,GLGENN,2,4096,2048,128,32,4,"6,2077","0,0544","0,536","0,185",24.1K
ConvexHullDataset,5,GLGENN,3,4096,2048,128,32,4,"6,2602","0,042","0,4761","0,1602",24.1K
ConvexHullDataset,5,GLGENN,4,4096,2048,128,32,4,"6,1098","0,0429","0,5522","0,1689",24.1K
ConvexHullDataset,5,GLGENN,5,4096,2048,128,32,4,"5,9598","0,0425","0,5152","0,1647",24.1K
ConvexHullDataset,5,GLGENN,1,16384,1024,256,32,4,"4,8581","0,0912","3,4712","0,3199",24.1K
ConvexHullDataset,5,GLGENN,2,16384,2048,256,32,4,"4,3454","0,0854","2,0289","0,3421",24.1K
ConvexHullDataset,5,GLGENN,3,16384,2048,256,32,4,"4,28","0,0854","1,9346","0,3449",24.1K
ConvexHullDataset,5,GLGENN,4,16384,2048,256,32,4,"4,3395","0,0922","2,0447","0,3522",24.1K
ConvexHullDataset,5,GLGENN,5,16384,2048,256,32,4,"4,4862","0,0907","1,8986","0,3449",24.1K
ConvexHullDataset,5,CGENN,1,256,512,128,32,4,"18,2696","0,0975","0,1604","0,328",58.8K
ConvexHullDataset,5,CGENN,2,256,512,128,32,4,"17,4874","0,0933","0,036","0,3579",58.8K
ConvexHullDataset,5,CGENN,3,256,512,128,32,4,"17,8046","0,0989","0,0427","0,3249",58.8K
ConvexHullDataset,5,CGENN,4,256,512,128,32,4,"20,9398","0,0824","0,0965","0,3241",58.8K
ConvexHullDataset,5,CGENN,5,256,512,128,32,4,"19,0654","0,0969","0,0765","0,3497",58.8K
ConvexHullDataset,5,CGENN,1,1024,1024,128,32,4,"14,4032","0,0822",0,"0,2314",58.8K
ConvexHullDataset,5,CGENN,2,1024,1024,128,32,4,"11,889","0,0839","0,0005","0,2158",58.8K
ConvexHullDataset,5,CGENN,3,1024,1024,128,32,4,"11,6211","0,0848","0,0072","0,2341",58.8K
ConvexHullDataset,5,CGENN,4,1024,1024,128,32,4,"10,76","0,0841","0,0218","0,2377",58.8K
ConvexHullDataset,5,CGENN,5,1024,1024,128,32,4,"10,9612","0,868","0,0065","0,2465",58.8K
ConvexHullDataset,5,CGENN,1,4096,2048,128,32,4,"6,3574","0,0853","0,0406","0,2516",58.8K
ConvexHullDataset,5,CGENN,2,4096,2048,128,32,4,"4,996","0,0891","0,1572","0,2288",58.8K
ConvexHullDataset,5,CGENN,3,4096,2048,128,32,4,"6,6557","0,0841","0,0286","0,2282",58.8K
ConvexHullDataset,5,CGENN,4,4096,2048,128,32,4,"6,2696","0,0852","0,0757","0,2407",58.8K
ConvexHullDataset,5,CGENN,5,4096,2048,128,32,4,"6,1997","0,0856","0,0232","0,2216",58.8K
ConvexHullDataset,5,CGENN,1,16384,1024,256,32,4,"4,184","0,1513","2,3962","0,4531",58.8K
ConvexHullDataset,5,CGENN,2,16384,2048,256,32,4,"4,1323","0,1401","0,7979","0,4365",58.8K
ConvexHullDataset,5,CGENN,3,16384,2048,256,32,4,"4,3261","0,139","0,9467","0,4199",58.8K
ConvexHullDataset,5,CGENN,4,16384,2048,256,32,4,"3,6548","0,1453","1,0423","0,4451",58.8K
ConvexHullDataset,5,CGENN,5,16384,2048,256,32,4,"4,2305","0,1348","0,9997","0,4381",58.8K
