dataset,dimension,model,trial,num_samples,num_steps,batch_size,hidden_features,test loss,train loss,total params
NBodyDataset,5,GLGENN,1,30,2048,128,32,0.0115,0.0014,103K
NBodyDataset,5,GLGENN,2,30,2048,128,32,0.0054,0.0007,103K
NBodyDataset,5,GLGENN,3,30,2048,128,32,0.0041,0.0005,103K
NBodyDataset,5,GLGENN,1,300,4096,128,32,0.0012,0.0012,103K
NBodyDataset,5,GLGENN,2,300,4096,128,32,0.0010,0.0009,103K
NBodyDataset,5,GLGENN,3,300,4096,128,32,0.0010,0.0011,103K
NBodyDataset,5,GLGENN,1,3000,4096,128,32,0.0010,0.0013,103K
NBodyDataset,5,GLGENN,2,3000,4096,128,32,0.0009,0.0013,103K
NBodyDataset,5,GLGENN,3,3000,4096,128,32,0.0009,0.0012,103K
NBodyDataset,5,CGENN,1,30,2048,128,32,0.0213,0.0005,210K
NBodyDataset,5,CGENN,2,30,2048,128,32,0.0130,0.0003,210K
NBodyDataset,5,CGENN,3,30,2048,128,32,0.0064,0.0002,210K
NBodyDataset,5,CGENN,1,300,4096,128,32,0.0021,0.0003,210K
NBodyDataset,5,CGENN,2,300,4096,128,32,0.0010,0.0003,210K
NBodyDataset,5,CGENN,3,300,4096,128,32,0.0013,0.0004,210K
NBodyDataset,5,CGENN,1,3000,4096,128,32,0.0006,0.0008,210K
NBodyDataset,5,CGENN,2,3000,4096,128,32,0.0008,0.0009,210K
NBodyDataset,5,CGENN,3,3000,4096,128,32,0.0007,0.0008,210K
