dataset,dimension,model,trial,num_samples,num_steps,batch_size,output_gp dim,hidden_mlp_1 dim,hidden_mlp_2 dim,val loss,val/s_it,train loss,train/s_it,total params,ga params
OnSynthetic,5,GLGENN,1,30,1000,15,8,380,380,"0,1666","0,0884","0,0003","0,0147",149189,608
OnSynthetic,5,GLGENN,2,30,1000,15,8,380,380,"0,062","0,0067","0,0007","0,0128",149189,608
OnSynthetic,5,GLGENN,3,30,1000,15,8,380,380,"0,2526","0,0066","0,0007","0,014",149189,608
OnSynthetic,5,GLGENN,4,30,1000,15,8,380,380,"0,0212","0,0068","0,0001","0,0132",149189,608
OnSynthetic,5,GLGENN,5,30,1000,15,8,380,380,"0,025","0,0068","0,001","0,0131",149189,608
OnSynthetic,5,GLGENN,1,300,1000,15,8,380,380,"0,002","0,0109","0,0002","0,0421",149189,608
OnSynthetic,5,GLGENN,2,300,1000,15,8,380,380,"0,0012","0,0116","0,0003","0,0371",149189,608
OnSynthetic,5,GLGENN,3,300,1000,15,8,380,380,"0,0057","0,11","0,0001","0,0377",149189,608
OnSynthetic,5,GLGENN,4,300,1000,15,8,380,380,"0,001","0,113","0,0005","0,0378",149189,608
OnSynthetic,5,GLGENN,5,300,1000,15,8,380,380,"0,0003","0,01113","0,0003","0,0345",149189,608
OnSynthetic,5,GLGENN,1,3000,300,15,8,380,380,"0,0015","0,0107","0,0401","0,0555",149189,608
OnSynthetic,5,GLGENN,2,3000,300,15,8,380,380,"0,0007","0,0113","0,0517","0,0377",149189,608
OnSynthetic,5,GLGENN,3,3000,300,15,8,380,380,"0,0088","0,0114","0,0668","0,0357",149189,608
OnSynthetic,5,GLGENN,4,3000,300,15,8,380,380,"0,0036","0,0113","0,0382","0,0383",149189,608
OnSynthetic,5,GLGENN,5,3000,300,15,8,380,380,"0,001","0,0109","0,0595","0,038",149189,608
OnSynthetic,5,GLGENN,1,30000,3000,15,8,380,380,"0,0002","0,0105","0,0002","0,0357",149189,608
OnSynthetic,5,GLGENN,2,30000,3000,15,8,380,380,"0,0004","0,0105","0,0005","0,0365",149189,608
OnSynthetic,5,GLGENN,3,30000,3000,15,8,380,380,"0,0041","0,0117","0,0007","0,0372",149189,608
OnSynthetic,5,GLGENN,4,30000,3000,15,8,380,380,"0,0002","0,011","0,0005","0,0363",149189,608
OnSynthetic,5,GLGENN,5,30000,3000,15,8,380,380,"0,0004","0,0141","0,0005","0,0448",149189,608
OnSynthetic,5,CGENN,1,30,1000,15,8,380,380,"0,1992","0,0101","0,0001","0,0149",150453,1872
OnSynthetic,5,CGENN,2,30,1000,15,8,380,380,"0,0123","0,0117",0,"0,0211",150453,1872
OnSynthetic,5,CGENN,3,30,1000,15,8,380,380,"0,1455","0,0086","0,0003","0,0179",150453,1872
OnSynthetic,5,CGENN,4,30,1000,15,8,380,380,"0,0194","0,012","0,001","0,0184",150453,1872
OnSynthetic,5,CGENN,5,30,1000,15,8,380,380,"0,019","0,009","0,0012","0,0152",150453,1872
OnSynthetic,5,CGENN,1,300,1000,15,8,380,380,"0,0024","0,0149","0,0004","0,0352",150453,1872
OnSynthetic,5,CGENN,2,300,1000,15,8,380,380,"0,0011","0,0227","0,0003","0,0398",150453,1872
OnSynthetic,5,CGENN,3,300,1000,15,8,380,380,"0,0038","0,015","0,0002","0,0366",150453,1872
OnSynthetic,5,CGENN,4,300,1000,15,8,380,380,"0,036","0,0222","1,194","0,0451",150453,1872
OnSynthetic,5,CGENN,5,300,1000,15,8,380,380,"0,0012","0,0144","0,0003","0,037",150453,1872
OnSynthetic,5,CGENN,1,3000,300,15,8,380,380,"0,0011","0,0153","0,049","0,0409",150453,1872
OnSynthetic,5,CGENN,2,3000,300,15,8,380,380,"0,0011","0,0149","0,0441","0,0404",150453,1872
OnSynthetic,5,CGENN,3,3000,300,15,8,380,380,"0,0019","0,015","0,0516","0,041",150453,1872
OnSynthetic,5,CGENN,4,3000,300,15,8,380,380,"0,0012","0,0147","0,0452","0,0409",150453,1872
OnSynthetic,5,CGENN,5,3000,300,15,8,380,380,"0,0006","0,0154","0,0295","0,0489",150453,1872
OnSynthetic,5,CGENN,1,30000,3000,15,8,380,380,"0,0003","0,0179","0,0003","0,0463",150453,1872
OnSynthetic,5,CGENN,2,30000,3000,15,8,380,380,"0,0005","0,0148","0,0002","0,0399",150453,1872
OnSynthetic,5,CGENN,3,30000,3000,15,8,380,380,"0,0002","0,0176","0,0006","0,0482",150453,1872
OnSynthetic,5,CGENN,4,30000,3000,15,8,380,380,"0,0001","0,0144","0,0008","0,0387",150453,1872
OnSynthetic,5,CGENN,5,30000,3000,15,8,380,380,"0,0002","0,0149","0,0009","0,0424",150453,1872
